ad_id,campaign,audience,spend,impressions,clicks,conversions,revenue,CTR,CPC,CPA,ROAS,score
1,C,Gen Z,414,23700,1866,100,3300,0.07873417721518987,0.22186495176848875,4.099009900990099,7.971014492753623,7.941735461383232
2,D,Gen Z,421,35620,635,61,1586,0.017827063447501405,0.662992125984252,6.790322580645161,3.7672209026128267,3.1718665352540207
3,A,Broad,399,38678,1463,39,819,0.0378251202233828,0.2727272727272727,9.975,2.0526315789473686,2.571595711964642
4,C,Millennials,96,21559,1678,141,5781,0.07783292360499096,0.057210965435041714,0.676056338028169,60.21875,44.48811270814972
5,C,Millennials,404,28509,2012,196,4704,0.07057420463713214,0.20079522862823063,2.050761421319797,11.643564356435643,10.267721188618914
6,D,Gen Z,360,28860,1939,123,3075,0.06718641718641719,0.18566271273852503,2.903225806451613,8.541666666666666,7.994759182259182
7,A,Interest,473,12003,336,40,1240,0.02799300174956261,1.4077380952380953,11.536585365853659,2.6215644820295982,2.674885189907597
8,A,Millennials,357,22732,499,16,592,0.021951434101706847,0.7154308617234469,21.0,1.658263305322129,1.8193273367766958
9,C,Interest,193,26826,1523,45,1305,0.05677327965406695,0.12672357189757058,4.195652173913044,6.761658031088083,6.436359011383667
10,B,Millennials,318,31354,2353,269,11298,0.07504624609300249,0.13514662133446664,1.1777777777777778,35.528301886792455,27.121198703544792
11,C,Interest,419,14843,726,61,1159,0.04891194502459072,0.5771349862258953,6.758064516129032,2.7661097852028638,3.4036352003797257
12,C,Broad,173,45472,2274,248,12152,0.05000879662209712,0.0760773966578716,0.6947791164658634,70.24277456647398,50.6702060951947
13,C,Interest,155,49529,1465,112,4592,0.029578630701205356,0.10580204778156997,1.3716814159292035,29.625806451612902,21.62542343716519
14,C,Broad,207,7190,459,23,966,0.06383866481223922,0.45098039215686275,8.625,4.666666666666667,5.181826611033843
15,D,Broad,196,18640,430,54,594,0.023068669527896997,0.4558139534883721,3.5636363636363635,3.0306122448979593,2.8134886572654816
16,A,Interest,194,39413,1287,159,6678,0.03265420039073402,0.15073815073815075,1.2125,34.422680412371136,25.075502300381817
17,D,Broad,169,43356,1724,190,7980,0.03976381585017068,0.09802784222737819,0.8848167539267016,47.218934911242606,34.246168913374945
18,D,Gen Z,368,45597,2076,114,2508,0.045529311138890714,0.17726396917148363,3.2,6.815217391304348,6.136531508079765
19,D,Broad,324,41821,1127,109,4251,0.026948183926735373,0.28748890860692106,2.9454545454545453,13.12037037037037,9.99270477706132
20,C,Millennials,141,4330,78,5,210,0.018013856812933025,1.8076923076923077,23.5,1.4893617021276595,1.5829688958773522
21,B,Interest,107,20087,1059,33,726,0.05272066510678548,0.10103871576959396,3.1470588235294117,6.785046728971962,6.3311526634839375
22,A,Gen Z,488,42430,1281,178,6230,0.030190902663209992,0.38095238095238093,2.7262569832402233,12.76639344262295,9.842202489732365
23,B,Interest,395,25504,1292,48,1488,0.05065872020075282,0.30572755417956654,8.061224489795919,3.767088607594937,4.15672363133904
24,D,Millennials,278,8114,168,24,1152,0.02070495439980281,1.6547619047619047,11.12,4.143884892086331,3.5218680564545153
25,D,Millennials,166,14323,625,48,528,0.043636109753543255,0.2656,3.3877551020408165,3.180722891566265,3.535589316702683
26,B,Millennials,367,35121,1660,73,3431,0.047265168987215625,0.22108433734939759,4.95945945945946,9.348773841961853,7.962096758989766
27,B,Broad,328,11975,163,14,672,0.01361169102296451,2.0122699386503067,21.866666666666667,2.048780487804878,1.84249707215235
28,B,Broad,176,12023,403,53,1855,0.03351908841387341,0.43672456575682383,3.259259259259259,10.539772727272727,8.38341356150711
29,D,Interest,442,22447,435,50,1200,0.019378981601104826,1.0160919540229885,8.666666666666666,2.7149321266968327,2.4818219367209275
30,D,Interest,445,25933,374,46,1978,0.01442177920024679,1.1898395721925135,9.46808510638298,4.444943820224719,3.5441140501647066
31,A,Gen Z,178,24959,1979,209,10241,0.0792900356584799,0.089944416371905,0.8476190476190476,57.53370786516854,42.652296575372375
32,A,Gen Z,107,1667,54,5,100,0.03239352129574085,1.9814814814814814,17.833333333333332,0.9345794392523364,1.626011246348861
33,D,Interest,171,30703,2047,266,3192,0.06667100934762075,0.08353688324377137,0.6404494382022472,18.666666666666668,15.06679694709529
34,B,Broad,50,10337,287,15,225,0.027764341685208475,0.17421602787456447,3.125,4.5,3.982930250556254
